CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
5/1/2022,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
Nutrição,,,,,,,,,,,,
Administração,,,,,,,,  17.70 ,,,,
Ambulatório,,,,,,,,  31.00 ,,,,
Farmácia,  14.20 ,,,,,,,  4.00 ,,,,
CME,  8.80 ,,,,,,,  2.50 ,,,,
CECAE/Hemodinâmica,,,,,,,,  28.35 ,,,,
CEROF,,,,,,,,  1.00 ,,,,
Pediatria,  38.00 ,,,,,,,  21.00 ,,,,
Obstetrícia,  39.00 ,,,,,,,  1.90 ,,,,
DIP,  48.00 ,,,,,,,  1.20 ,,,,
CCA,,,,,,,,  15.20 ,,,,
CMA,  22.30 ,,,,,,,,,,,
CMB,  18.00 ,,,,,,,,,,,
PATOLOGIA,,,,,,,,,,,,
ÁREA,,,,,,,,,,,,
BLOCO,  11.50 ,,,,,,,,,,,
UTI,  10.10 ,,,,,,,,,,,
NOTURNO,,,,,,,,,,,,
SAE,,,,,,,,,,,,
TOTAL,  209.90 ,,,,  -   ,,,  123.85 ,,  -   ,,  -   
